cellIndex	x	z	P	Q	matNum	fixed
574	36.75	2.75	7.25	0	70	false
575	37.25	2.75	7.25	0	63	false
576	37.75	2.75	7.25	0	70	false
577	38.25	2.75	7.25	0	55	false
578	38.75	2.75	7.25	0	70	false
579	39.25	2.75	7.25	0	49	false
580	39.75	2.75	7.25	0	41	false
581	40.25	2.75	7.25	0	27	false
582	40.75	2.75	7.25	0	26	false
583	41.25	2.75	7.25	0	17	false
584	41.75	2.75	7.25	0	24	false
585	42.25	2.75	7.25	0	26	false
586	42.75	2.75	7.25	0	22	false
587	43.25	2.75	7.25	0	33	false
588	43.75	2.75	7.25	0	3	false
589	44.25	2.75	7.25	0	3	false
590	44.75	2.75	7.25	0	13	false
591	45.25	2.75	7.25	0	13	false
592	45.75	2.75	7.25	0	10	false
593	46.25	2.75	7.25	0	5	false
594	46.75	2.75	7.25	0	7	false
595	47.25	2.75	7.25	0	10	false
596	47.75	2.75	7.25	0	30	false
597	48.25	2.75	7.25	0	19	false
598	48.75	2.75	7.25	0	52	false
599	49.25	2.75	7.25	0	24	false
600	49.75	2.75	7.25	0	44	false
601	0.25	3.25	6.75	0	33	true
602	0.75	3.25	6.75	0	7	false
603	1.25	3.25	6.75	0	20	false
604	1.75	3.25	6.75	0	54	false
605	2.25	3.25	6.75	0	54	false
606	2.75	3.25	6.75	0	47	false
607	3.25	3.25	6.75	0	56	false
608	3.75	3.25	6.75	0	31	false
609	4.25	3.25	6.75	0	48	false
610	4.75	3.25	6.75	0	54	false
611	5.25	3.25	6.75	0	91	false
612	5.75	3.25	6.75	0	98	false
613	6.25	3.25	6.75	0	97	false
614	6.75	3.25	6.75	0	45	false
615	7.25	3.25	6.75	0	61	false
616	7.75	3.25	6.75	0	44	false
617	8.25	3.25	6.75	0	72	false
618	8.75	3.25	6.75	0	80	false
619	9.25	3.25	6.75	0	92	false
620	9.75	3.25	6.75	0	85	false
621	10.25	3.25	6.75	0	75	false
622	10.75	3.25	6.75	0	77	false
623	11.25	3.25	6.75	0	82	false
624	11.75	3.25	6.75	0	81	false
625	12.25	3.25	6.75	0	67	false
626	12.75	3.25	6.75	0	67	false
627	13.25	3.25	6.75	0	49	false
628	13.75	3.25	6.75	0	53	false
629	14.25	3.25	6.75	0	1	false
630	14.75	3.25	6.75	0	62	false
631	15.25	3.25	6.75	0	62	false
632	15.75	3.25	6.75	0	54	false
633	16.25	3.25	6.75	0	53	false
